feature,base_rmse,rmse_permuted,rmse_increase
CO2(tCO2),9.684417116488035,19.292299670157746,9.607882553669711
NSM,9.684417116488035,18.421327389142377,8.736910272654342
Leading_Current_Power_Factor,9.684417116488035,16.702035462061843,7.017618345573808
Load_Type_num,9.684417116488035,16.051117895674018,6.366700779185983
Lagging_Current_Reactive.Power_kVarh,9.684417116488035,14.53064377657978,4.8462266600917445
Leading_Current_Reactive_Power_kVarh,9.684417116488035,12.99164997888962,3.3072328624015856
Lagging_Current_Power_Factor,9.684417116488035,12.742014265955707,3.0575971494676715
WeekStatus_num,9.684417116488035,11.297675633356244,1.6132585168682088
